start_time,end_time,category,selected_image,jitter_var,correct,target,distractor
5.508,6.247,5,1,"[(1.07, -5), (0.98, 5), (0.91, 0), (0.96, -10)]",True,img3,img10
7.483,8.36,4,3,"[(0.97, 10), (1.01, -5), (1.08, 5), (1.08, 10)]",True,img9,img8
8.896,10.077,4,0,"[(0.96, 0), (1.02, 10), (1.1, 5), (1.03, 0)]",True,img1,img4
10.652,11.52,4,3,"[(1.1, -10), (1.02, -5), (0.97, 5), (0.9, -10)]",False,img5,img3
13.098,13.745,1,2,"[(0.98, -5), (1.08, 10), (0.95, 5), (1.0, 0)]",True,img8,img1
14.287,15.029,2,1,"[(1.04, -5), (1.08, 0), (0.98, 0), (1.04, 0)]",False,img5,img2
16.581,17.182,2,1,"[(0.96, 0), (0.99, 5), (0.98, -5), (1.01, -5)]",True,img9,img2
17.85,18.545,4,3,"[(0.97, 10), (1.02, 10), (0.9, -10), (0.98, 5)]",True,img6,img10
21.149,21.937,4,0,"[(1.08, -10), (0.99, 10), (0.93, 10), (1.03, -10)]",True,img10,img8
24.262,24.969,2,1,"[(1.03, -10), (0.96, -10), (1.07, 0), (1.05, 10)]",True,img5,img1
25.526,26.273,1,1,"[(1.03, 0), (1.01, 0), (1.08, -10), (0.91, -5)]",True,img5,img10
28.31,29.278,4,0,"[(0.97, 10), (1.07, -5), (1.07, 5), (0.94, 10)]",False,img3,img5
30.836,31.48,2,1,"[(1.1, 5), (0.92, 0), (0.96, 5), (1.08, -5)]",True,img3,img8
32.483,33.16,1,1,"[(1.01, -10), (0.93, -10), (1.04, 5), (1.05, -5)]",True,img2,img4
33.716,34.396,4,3,"[(1.01, 10), (1.0, 10), (0.97, -5), (1.08, -10)]",True,img2,img10
34.953,35.621,4,3,"[(1.02, -10), (1.0, -5), (1.08, 10), (1.07, -10)]",True,img10,img2
36.173,37.482,5,3,"[(1.01, 5), (0.92, -5), (1.09, 5), (0.92, -5)]",True,img5,img1
38.046,38.746,2,1,"[(0.94, 0), (1.02, -5), (1.07, 10), (1.02, 0)]",True,img1,img6
39.958,40.857,2,1,"[(0.93, 5), (1.07, 0), (0.96, 10), (0.93, -5)]",True,img10,img2
41.421,42.293,5,3,"[(1.0, 5), (0.99, -5), (1.01, 0), (1.0, 0)]",True,img6,img10
42.867,43.559,4,2,"[(0.93, 5), (1.05, 5), (1.04, 0), (0.93, -10)]",True,img1,img6
44.125,45.164,1,3,"[(1.03, -10), (0.96, 5), (1.01, 10), (1.08, 0)]",False,img8,img3
46.721,47.496,2,3,"[(1.0, 0), (0.98, -5), (1.05, 10), (0.95, 0)]",True,img3,img5
48.071,48.799,1,1,"[(1.06, 5), (0.98, 10), (1.09, 10), (0.94, -5)]",False,img6,img9
50.366,50.892,5,1,"[(1.06, 10), (1.09, -10), (0.98, 5), (1.05, 10)]",True,img3,img5
51.759,52.336,1,1,"[(1.07, 10), (0.96, -5), (0.97, 0), (0.93, 10)]",True,img9,img5
52.895,53.652,1,0,"[(0.97, -10), (1.04, 0), (1.05, 10), (0.95, -10)]",True,img1,img8
57.415,57.949,1,1,"[(1.05, -5), (1.09, 5), (0.94, 5), (1.09, 0)]",False,img7,img1
59.508,60.155,2,1,"[(1.08, -5), (0.98, 0), (0.93, 0), (1.05, 10)]",False,img1,img4
61.711,62.364,4,3,"[(0.97, -10), (0.98, 0), (1.03, 5), (0.98, 5)]",True,img10,img5
62.927,63.437,1,1,"[(1.08, -10), (0.94, 5), (1.09, 0), (1.05, 5)]",True,img8,img9
64.372,65.142,2,2,"[(1.05, -5), (0.91, 10), (1.01, -5), (0.95, 0)]",True,img7,img8
65.742,66.435,5,3,"[(1.08, -10), (1.04, 10), (1.01, -5), (0.96, 5)]",False,img9,img4
68.009,68.6,5,1,"[(1.09, -10), (1.09, 10), (0.93, -10), (0.99, -5)]",True,img7,img4
69.15,69.721,5,0,"[(0.99, 5), (0.96, 0), (0.95, 5), (1.1, -10)]",True,img4,img6
72.254,72.956,2,3,"[(0.99, -10), (1.01, -5), (1.07, 0), (0.94, 10)]",True,img7,img4
73.543,74.341,1,0,"[(0.92, -5), (1.02, 5), (1.06, 5), (0.9, -10)]",False,img7,img5
75.912,76.569,5,2,"[(1.06, -5), (0.99, 10), (1.0, -10), (0.97, 5)]",True,img4,img5
77.126,77.79,4,0,"[(1.0, -10), (0.97, 5), (0.99, -5), (0.92, 5)]",False,img9,img10
79.832,80.753,2,3,"[(0.98, 5), (1.02, -10), (0.96, 0), (1.01, -5)]",True,img4,img7
81.71,82.28,1,1,"[(0.97, -10), (0.97, 0), (1.07, 5), (0.98, 10)]",False,img2,img7
119.237,120.047,2,1,"[(0.96, 10), (0.92, 5), (0.91, -5), (1.02, -5)]",False,img9,img3
121.619,122.333,1,3,"[(1.08, -5), (1.03, 5), (1.06, 0), (0.97, 0)]",True,img9,img6
123.111,123.865,4,1,"[(1.1, 10), (0.91, 5), (1.0, 10), (0.95, 5)]",False,img6,img8
125.418,126.092,5,1,"[(1.04, -10), (0.9, -5), (1.02, 5), (1.08, 10)]",True,img10,img5
126.66,127.288,5,1,"[(0.92, -10), (1.01, 10), (1.07, 5), (0.99, 0)]",True,img9,img5
127.995,128.544,5,2,"[(1.03, 0), (1.05, 0), (1.0, 0), (0.94, 0)]",True,img10,img1
129.094,129.684,5,3,"[(1.05, 5), (1.07, 0), (0.96, -5), (1.04, 10)]",True,img1,img7
130.239,130.805,4,1,"[(0.9, -5), (0.92, -5), (0.97, -5), (0.94, 0)]",True,img4,img10
131.37,132.168,1,3,"[(1.05, 5), (0.99, 0), (1.05, -10), (0.91, 10)]",False,img10,img3
133.72,134.506,1,3,"[(1.01, 10), (0.96, -10), (0.9, 10), (0.9, 0)]",True,img6,img5
