start_time,end_time,category,selected_image,jitter_var,correct,target,distractor
0.052,2.516,2,1,"[(1.15, -10), (1.15, -10), (1.0, 10), (1.02, 5)]",True,img7,img10
3.088,4.372,2,1,"[(0.9, -5), (1.02, -5), (1.02, 5), (0.85, -5)]",True,img10,img7
5.018,6.314,1,2,"[(1.18, 0), (0.86, -10), (1.19, 10), (0.95, 0)]",True,img7,img8
6.888,8.03,4,0,"[(0.88, -5), (0.99, 10), (1.19, 10), (0.99, -5)]",False,img1,img3
9.988,11.172,5,0,"[(0.98, 0), (1.05, 5), (0.82, 10), (0.91, 10)]",True,img1,img5
11.75,13.464,5,2,"[(0.91, 10), (1.11, -10), (1.12, 5), (1.16, 5)]",False,img2,img3
20.005,21.447,5,0,"[(1.04, -5), (1.12, 0), (0.88, -10), (0.83, 0)]",True,img5,img6
22.009,23.928,2,1,"[(1.19, -10), (1.04, 5), (0.98, 5), (0.83, -5)]",True,img8,img5
24.563,25.979,4,3,"[(1.11, 10), (0.8, 10), (1.05, 10), (0.8, -10)]",True,img10,img9
26.646,29.478,4,1,"[(0.98, 10), (1.17, -5), (1.17, 0), (0.94, 5)]",True,img4,img8
30.101,31.515,5,0,"[(0.83, 0), (0.86, 10), (1.12, 0), (1.02, -5)]",True,img10,img9
32.541,33.708,5,0,"[(0.97, -10), (0.95, 0), (1.14, -10), (1.19, 0)]",True,img9,img6
34.637,36.55,2,0,"[(1.06, -5), (1.04, 0), (0.83, 5), (0.98, 0)]",True,img5,img9
37.829,38.705,1,3,"[(0.85, 0), (0.93, 5), (0.89, -5), (0.95, -10)]",False,img4,img7
40.821,41.499,2,2,"[(1.02, -10), (1.19, 10), (0.8, 10), (1.11, -10)]",False,img8,img6
54.966,56.699,4,1,"[(0.83, 10), (0.92, 0), (1.05, -10), (0.88, -5)]",False,img10,img7
58.261,59.989,1,0,"[(1.04, 10), (1.15, -5), (0.93, -10), (0.8, -5)]",True,img8,img9
60.901,62.724,1,1,"[(1.03, -5), (0.87, 5), (1.11, 10), (0.95, 0)]",False,img5,img4
97.395,98.794,5,3,"[(1.16, -10), (0.98, -10), (0.82, 0), (1.13, 10)]",True,img5,img3
101.744,103.897,1,0,"[(0.94, 5), (1.06, -5), (0.81, -5), (1.13, 0)]",True,img1,img8
106.446,107.373,5,3,"[(0.89, -10), (0.99, 10), (1.16, 10), (1.05, -10)]",False,img8,img10
108.96,110.984,5,3,"[(1.12, -5), (1.1, -10), (1.01, -10), (0.84, 5)]",True,img3,img4
111.577,113.724,2,0,"[(0.84, 0), (0.99, -5), (0.81, -5), (0.91, 5)]",False,img4,img5
115.29,116.108,2,1,"[(0.94, -5), (1.14, 10), (1.06, 10), (1.19, 5)]",False,img7,img2
117.691,118.636,4,2,"[(1.09, 10), (1.19, 5), (0.88, -10), (0.89, 10)]",True,img5,img3
119.215,120.817,2,0,"[(0.94, 0), (0.96, -10), (1.2, 5), (0.99, 5)]",True,img8,img2
121.784,122.765,5,0,"[(0.82, 0), (1.2, 10), (0.96, 10), (0.95, -5)]",True,img6,img4
123.794,125.149,1,0,"[(0.85, -10), (1.11, -5), (0.91, -5), (0.98, 5)]",False,img2,img3
126.704,127.369,1,1,"[(0.82, 10), (1.17, 5), (1.15, 0), (1.16, 0)]",False,img3,img9
131.069,134.08,2,1,"[(0.96, -5), (1.09, 0), (0.92, 0), (0.91, -10)]",False,img7,img5
